node_id,sae_name,activity_threshold,subgraph_id,subgraph_size,feature_activations
8382,resjb,0.0,80,196,46.0
11456,resjb,0.0,80,196,63.0
9924,resjb,0.0,80,196,46.0
17094,resjb,0.0,80,196,139.0
17095,resjb,0.0,80,196,44.0
19145,resjb,0.0,80,196,58.0
14030,resjb,0.0,80,196,78.0
14032,resjb,0.0,80,196,62.0
9427,resjb,0.0,80,196,54.0
7894,resjb,0.0,80,196,41.0
16600,resjb,0.0,80,196,74.0
1241,resjb,0.0,80,196,60.0
13016,resjb,0.0,80,196,78.0
7899,resjb,0.0,80,196,69.0
14052,resjb,0.0,80,196,93.0
18152,resjb,0.0,80,196,37.0
2796,resjb,0.0,80,196,109.0
22253,resjb,0.0,80,196,124.0
18672,resjb,0.0,80,196,75.0
10480,resjb,0.0,80,196,90.0
10490,resjb,0.0,80,196,83.0
21756,resjb,0.0,80,196,52.0
20733,resjb,0.0,80,196,27.0
19712,resjb,0.0,80,196,67.0
21760,resjb,0.0,80,196,60.0
21251,resjb,0.0,80,196,82.0
6404,resjb,0.0,80,196,90.0
7943,resjb,0.0,80,196,71.0
22793,resjb,0.0,80,196,93.0
16138,resjb,0.0,80,196,88.0
9484,resjb,0.0,80,196,30.0
781,resjb,0.0,80,196,37.0
8466,resjb,0.0,80,196,130.0
4882,resjb,0.0,80,196,49.0
2328,resjb,0.0,80,196,39.0
2331,resjb,0.0,80,196,57.0
22818,resjb,0.0,80,196,62.0
18223,resjb,0.0,80,196,62.0
22832,resjb,0.0,80,196,56.0
1845,resjb,0.0,80,196,56.0
5943,resjb,0.0,80,196,65.0
19772,resjb,0.0,80,196,68.0
5948,resjb,0.0,80,196,92.0
1343,resjb,0.0,80,196,41.0
11585,resjb,0.0,80,196,42.0
10564,resjb,0.0,80,196,51.0
1354,resjb,0.0,80,196,110.0
5452,resjb,0.0,80,196,109.0
3407,resjb,0.0,80,196,128.0
8017,resjb,0.0,80,196,65.0
20312,resjb,0.0,80,196,66.0
20313,resjb,0.0,80,196,73.0
8541,resjb,0.0,80,196,68.0
10078,resjb,0.0,80,196,81.0
19805,resjb,0.0,80,196,65.0
9567,resjb,0.0,80,196,45.0
15714,resjb,0.0,80,196,81.0
21861,resjb,0.0,80,196,55.0
8039,resjb,0.0,80,196,110.0
22380,resjb,0.0,80,196,104.0
13165,resjb,0.0,80,196,33.0
4462,resjb,0.0,80,196,65.0
878,resjb,0.0,80,196,42.0
22900,resjb,0.0,80,196,32.0
885,resjb,0.0,80,196,58.0
6517,resjb,0.0,80,196,52.0
18296,resjb,0.0,80,196,48.0
12153,resjb,0.0,80,196,78.0
20346,resjb,0.0,80,196,47.0
2425,resjb,0.0,80,196,42.0
22906,resjb,0.0,80,196,47.0
1407,resjb,0.0,80,196,82.0
22400,resjb,0.0,80,196,48.0
9089,resjb,0.0,80,196,59.0
3970,resjb,0.0,80,196,62.0
14217,resjb,0.0,80,196,88.0
22410,resjb,0.0,80,196,107.0
23435,resjb,0.0,80,196,62.0
914,resjb,0.0,80,196,86.0
12693,resjb,0.0,80,196,39.0
17303,resjb,0.0,80,196,73.0
923,resjb,0.0,80,196,113.0
2972,resjb,0.0,80,196,63.0
3999,resjb,0.0,80,196,105.0
1439,resjb,0.0,80,196,40.0
5539,resjb,0.0,80,196,42.0
1955,resjb,0.0,80,196,109.0
2990,resjb,0.0,80,196,75.0
19377,resjb,0.0,80,196,98.0
24498,resjb,0.0,80,196,94.0
1459,resjb,0.0,80,196,62.0
6066,resjb,0.0,80,196,29.0
6585,resjb,0.0,80,196,93.0
23993,resjb,0.0,80,196,42.0
4539,resjb,0.0,80,196,73.0
6076,resjb,0.0,80,196,70.0
13244,resjb,0.0,80,196,132.0
9663,resjb,0.0,80,196,47.0
13760,resjb,0.0,80,196,103.0
9155,resjb,0.0,80,196,48.0
7110,resjb,0.0,80,196,122.0
7622,resjb,0.0,80,196,37.0
3528,resjb,0.0,80,196,92.0
22992,resjb,0.0,80,196,57.0
13265,resjb,0.0,80,196,64.0
6609,resjb,0.0,80,196,121.0
22995,resjb,0.0,80,196,69.0
20437,resjb,0.0,80,196,59.0
8666,resjb,0.0,80,196,121.0
474,resjb,0.0,80,196,48.0
18908,resjb,0.0,80,196,154.0
18403,resjb,0.0,80,196,149.0
24040,resjb,0.0,80,196,34.0
18411,resjb,0.0,80,196,37.0
1516,resjb,0.0,80,196,51.0
23024,resjb,0.0,80,196,77.0
13299,resjb,0.0,80,196,47.0
18421,resjb,0.0,80,196,87.0
24055,resjb,0.0,80,196,131.0
13307,resjb,0.0,80,196,56.0
14333,resjb,0.0,80,196,42.0
6654,resjb,0.0,80,196,41.0
81,resjb,0.0,81,1,59.0
82,resjb,0.0,82,1,0.0
83,resjb,0.0,83,1,139.0
84,resjb,0.0,84,1,71.0
85,resjb,0.0,85,1,13.0
86,resjb,0.0,86,1,21.0
87,resjb,0.0,87,1,0.0
89,resjb,0.0,88,1,16.0
90,resjb,0.0,89,1,64.0
91,resjb,0.0,90,1,132.0
92,resjb,0.0,91,1,116.0
93,resjb,0.0,92,1,154.0
94,resjb,0.0,93,1,57.0
95,resjb,0.0,94,1,0.0
96,resjb,0.0,95,1,20.0
97,resjb,0.0,96,1,0.0
98,resjb,0.0,97,1,41.0
99,resjb,0.0,98,1,10.0
100,resjb,0.0,99,1,17.0
101,resjb,0.0,100,1,0.0
102,resjb,0.0,101,1,18.0
103,resjb,0.0,102,1,42.0
104,resjb,0.0,103,1,9.0
105,resjb,0.0,104,1,71.0
106,resjb,0.0,105,1,0.0
107,resjb,0.0,106,1,0.0
108,resjb,0.0,107,1,113.0
109,resjb,0.0,108,1,66.0
110,resjb,0.0,109,2,23.0
17663,resjb,0.0,109,2,24.0
21891,resjb,0.0,110,48,54.0
10887,resjb,0.0,110,48,52.0
6921,resjb,0.0,110,48,47.0
6670,resjb,0.0,110,48,36.0
21268,resjb,0.0,110,48,47.0
23957,resjb,0.0,110,48,63.0
16791,resjb,0.0,110,48,57.0
16159,resjb,0.0,110,48,37.0
18465,resjb,0.0,110,48,50.0
13733,resjb,0.0,110,48,62.0
8489,resjb,0.0,110,48,29.0
2985,resjb,0.0,110,48,64.0
18987,resjb,0.0,110,48,46.0
15024,resjb,0.0,110,48,33.0
21303,resjb,0.0,110,48,39.0
20792,resjb,0.0,110,48,36.0
4154,resjb,0.0,110,48,26.0
14651,resjb,0.0,110,48,35.0
22714,resjb,0.0,110,48,30.0
10685,resjb,0.0,110,48,28.0
10690,resjb,0.0,110,48,47.0
23240,resjb,0.0,110,48,38.0
12490,resjb,0.0,110,48,39.0
460,resjb,0.0,110,48,42.0
19661,resjb,0.0,110,48,56.0
17360,resjb,0.0,110,48,60.0
24018,resjb,0.0,110,48,56.0
9170,resjb,0.0,110,48,60.0
12246,resjb,0.0,110,48,60.0
10712,resjb,0.0,110,48,36.0
22489,resjb,0.0,110,48,60.0
1766,resjb,0.0,110,48,51.0
743,resjb,0.0,110,48,46.0
4328,resjb,0.0,110,48,31.0
20843,resjb,0.0,110,48,46.0
2539,resjb,0.0,110,48,60.0
8302,resjb,0.0,110,48,63.0
111,resjb,0.0,110,48,48.0
17265,resjb,0.0,110,48,34.0
22898,resjb,0.0,110,48,27.0
22259,resjb,0.0,110,48,50.0
4596,resjb,0.0,110,48,50.0
16245,resjb,0.0,110,48,40.0
21621,resjb,0.0,110,48,52.0
22393,resjb,0.0,110,48,47.0
23420,resjb,0.0,110,48,38.0
12029,resjb,0.0,110,48,43.0
2942,resjb,0.0,110,48,22.0
112,resjb,0.0,111,1,50.0
113,resjb,0.0,112,1,27.0
114,resjb,0.0,113,1,17.0
115,resjb,0.0,114,1,0.0
116,resjb,0.0,115,1,125.0
117,resjb,0.0,116,1,0.0
118,resjb,0.0,117,1,35.0
119,resjb,0.0,118,1,0.0
120,resjb,0.0,119,1,34.0
121,resjb,0.0,120,1,25.0
122,resjb,0.0,121,1,33.0
123,resjb,0.0,122,1,1.0
124,resjb,0.0,123,1,25.0
13699,resjb,0.0,124,2,44.0
125,resjb,0.0,124,2,64.0
7877,resjb,0.0,125,7,31.0
15870,resjb,0.0,125,7,42.0
5384,resjb,0.0,125,7,31.0
15725,resjb,0.0,125,7,32.0
17710,resjb,0.0,125,7,30.0
20533,resjb,0.0,125,7,33.0
126,resjb,0.0,125,7,35.0
127,resjb,0.0,126,1,11.0
128,resjb,0.0,127,1,64.0
