node_id,sae_name,activity_threshold,subgraph_id,subgraph_size,feature_activations
233,matryoshka,0.0,212,1,0.0
234,matryoshka,0.0,213,1,0.0
235,matryoshka,0.0,214,1,0.0
236,matryoshka,0.0,215,1,0.0
237,matryoshka,0.0,216,1,0.0
238,matryoshka,0.0,217,1,0.0
239,matryoshka,0.0,218,1,0.0
240,matryoshka,0.0,219,1,0.0
241,matryoshka,0.0,220,1,0.0
242,matryoshka,0.0,221,1,0.0
243,matryoshka,0.0,222,1,0.0
244,matryoshka,0.0,223,1,0.0
245,matryoshka,0.0,224,1,0.0
246,matryoshka,0.0,225,1,0.0
247,matryoshka,0.0,226,1,0.0
249,matryoshka,0.0,227,1,0.0
250,matryoshka,0.0,228,1,0.0
251,matryoshka,0.0,229,1,0.0
252,matryoshka,0.0,230,1,0.0
253,matryoshka,0.0,231,1,0.0
254,matryoshka,0.0,232,1,19900.0
256,matryoshka,0.0,233,1,0.0
257,matryoshka,0.0,234,1,0.0
258,matryoshka,0.0,235,1,0.0
259,matryoshka,0.0,236,1,0.0
260,matryoshka,0.0,237,1,0.0
261,matryoshka,0.0,238,1,0.0
262,matryoshka,0.0,239,1,0.0
263,matryoshka,0.0,240,1,0.0
264,matryoshka,0.0,241,1,0.0
265,matryoshka,0.0,242,1,0.0
266,matryoshka,0.0,243,1,0.0
267,matryoshka,0.0,244,1,0.0
268,matryoshka,0.0,245,1,0.0
269,matryoshka,0.0,246,1,0.0
270,matryoshka,0.0,247,1,0.0
271,matryoshka,0.0,248,1,967.0
272,matryoshka,0.0,249,1,2438.0
273,matryoshka,0.0,250,1,0.0
274,matryoshka,0.0,251,1,0.0
275,matryoshka,0.0,252,1,0.0
276,matryoshka,0.0,253,1,0.0
277,matryoshka,0.0,254,1,0.0
278,matryoshka,0.0,255,1,0.0
279,matryoshka,0.0,256,1,0.0
280,matryoshka,0.0,257,1,3864.0
281,matryoshka,0.0,258,1,0.0
282,matryoshka,0.0,259,1,0.0
283,matryoshka,0.0,260,1,2408.0
285,matryoshka,0.0,261,1,0.0
286,matryoshka,0.0,262,1,0.0
287,matryoshka,0.0,263,1,0.0
288,matryoshka,0.0,264,1,0.0
289,matryoshka,0.0,265,1,0.0
290,matryoshka,0.0,266,1,0.0
291,matryoshka,0.0,267,1,0.0
292,matryoshka,0.0,268,1,0.0
293,matryoshka,0.0,269,1,0.0
294,matryoshka,0.0,270,1,1857.0
295,matryoshka,0.0,271,1,0.0
296,matryoshka,0.0,272,1,0.0
297,matryoshka,0.0,273,1,0.0
298,matryoshka,0.0,274,1,0.0
299,matryoshka,0.0,275,1,0.0
300,matryoshka,0.0,276,1,0.0
302,matryoshka,0.0,277,1,0.0
303,matryoshka,0.0,278,1,0.0
304,matryoshka,0.0,279,1,0.0
305,matryoshka,0.0,280,1,0.0
306,matryoshka,0.0,281,1,0.0
307,matryoshka,0.0,282,1,0.0
309,matryoshka,0.0,283,1,0.0
310,matryoshka,0.0,284,1,0.0
311,matryoshka,0.0,285,1,0.0
312,matryoshka,0.0,286,1,0.0
313,matryoshka,0.0,287,1,0.0
314,matryoshka,0.0,288,1,0.0
315,matryoshka,0.0,289,1,609.0
316,matryoshka,0.0,290,1,0.0
317,matryoshka,0.0,291,1,1773.0
318,matryoshka,0.0,292,1,0.0
319,matryoshka,0.0,293,1,0.0
320,matryoshka,0.0,294,1,0.0
321,matryoshka,0.0,295,1,0.0
322,matryoshka,0.0,296,1,0.0
323,matryoshka,0.0,297,1,0.0
325,matryoshka,0.0,298,1,0.0
326,matryoshka,0.0,299,1,0.0
327,matryoshka,0.0,300,1,0.0
328,matryoshka,0.0,301,1,0.0
330,matryoshka,0.0,302,1,1135.0
332,matryoshka,0.0,303,1,0.0
333,matryoshka,0.0,304,1,0.0
335,matryoshka,0.0,305,1,0.0
337,matryoshka,0.0,306,1,0.0
338,matryoshka,0.0,307,1,0.0
339,matryoshka,0.0,308,1,0.0
340,matryoshka,0.0,309,1,0.0
342,matryoshka,0.0,310,1,4874.0
343,matryoshka,0.0,311,1,0.0
344,matryoshka,0.0,312,1,0.0
345,matryoshka,0.0,313,1,0.0
346,matryoshka,0.0,314,1,0.0
347,matryoshka,0.0,315,1,0.0
348,matryoshka,0.0,316,1,0.0
349,matryoshka,0.0,317,1,0.0
350,matryoshka,0.0,318,1,0.0
351,matryoshka,0.0,319,1,0.0
352,matryoshka,0.0,320,1,0.0
353,matryoshka,0.0,321,1,0.0
354,matryoshka,0.0,322,1,3201.0
355,matryoshka,0.0,323,1,0.0
356,matryoshka,0.0,324,1,0.0
358,matryoshka,0.0,325,1,0.0
359,matryoshka,0.0,326,1,321.0
361,matryoshka,0.0,327,1,2009.0
362,matryoshka,0.0,328,1,0.0
363,matryoshka,0.0,329,1,0.0
364,matryoshka,0.0,330,1,2377.0
365,matryoshka,0.0,331,1,0.0
366,matryoshka,0.0,332,1,0.0
367,matryoshka,0.0,333,1,0.0
368,matryoshka,0.0,334,2,2587.0
704,matryoshka,0.0,334,2,2825.0
369,matryoshka,0.0,335,1,0.0
370,matryoshka,0.0,336,1,0.0
371,matryoshka,0.0,337,1,0.0
372,matryoshka,0.0,338,1,0.0
373,matryoshka,0.0,339,1,0.0
374,matryoshka,0.0,340,1,0.0
375,matryoshka,0.0,341,1,0.0
376,matryoshka,0.0,342,1,0.0
377,matryoshka,0.0,343,1,0.0
379,matryoshka,0.0,344,1,0.0
380,matryoshka,0.0,345,1,0.0
381,matryoshka,0.0,346,1,0.0
382,matryoshka,0.0,347,1,0.0
383,matryoshka,0.0,348,1,4943.0
384,matryoshka,0.0,349,1,0.0
386,matryoshka,0.0,350,11,4172.0
23042,matryoshka,0.0,350,11,56.0
5190,matryoshka,0.0,350,11,124.0
12856,matryoshka,0.0,350,11,109.0
590,matryoshka,0.0,350,11,1939.0
2063,matryoshka,0.0,350,11,592.0
14256,matryoshka,0.0,350,11,117.0
3830,matryoshka,0.0,350,11,643.0
631,matryoshka,0.0,350,11,1632.0
12312,matryoshka,0.0,350,11,152.0
14870,matryoshka,0.0,350,11,119.0
387,matryoshka,0.0,351,1,0.0
388,matryoshka,0.0,352,1,0.0
389,matryoshka,0.0,353,1,0.0
868,matryoshka,0.0,354,6,1520.0
485,matryoshka,0.0,354,6,8004.0
390,matryoshka,0.0,354,6,7065.0
6990,matryoshka,0.0,354,6,487.0
17072,matryoshka,0.0,354,6,105.0
13530,matryoshka,0.0,354,6,203.0
391,matryoshka,0.0,355,1,0.0
392,matryoshka,0.0,356,1,0.0
393,matryoshka,0.0,357,1,0.0
394,matryoshka,0.0,358,1,0.0
395,matryoshka,0.0,359,1,5919.0
396,matryoshka,0.0,360,1,0.0
397,matryoshka,0.0,361,1,0.0
398,matryoshka,0.0,362,1,0.0
399,matryoshka,0.0,363,1,0.0
400,matryoshka,0.0,364,1,2234.0
401,matryoshka,0.0,365,1,0.0
402,matryoshka,0.0,366,1,0.0
403,matryoshka,0.0,367,1,0.0
404,matryoshka,0.0,368,1,0.0
405,matryoshka,0.0,369,1,0.0
406,matryoshka,0.0,370,1,0.0
407,matryoshka,0.0,371,1,2783.0
409,matryoshka,0.0,372,1,0.0
410,matryoshka,0.0,373,1,0.0
412,matryoshka,0.0,374,1,0.0
413,matryoshka,0.0,375,1,0.0
414,matryoshka,0.0,376,1,0.0
415,matryoshka,0.0,377,1,0.0
416,matryoshka,0.0,378,1,0.0
1144,matryoshka,0.0,379,2,719.0
418,matryoshka,0.0,379,2,3680.0
419,matryoshka,0.0,380,1,0.0
420,matryoshka,0.0,381,1,0.0
421,matryoshka,0.0,382,1,0.0
